date,place,company_name,budget,status,result,space_flight_name
"Sun Apr 28, 2024 00:34 UTC"," Kennedy Space Center, Florida, USA",SpaceX,Price: $67.0 million,Status: Active,Success,Falcon 9 Block 5 | Galileo FOC FM25 & FM27
"Thu Apr 25, 2024 12:59 UTC"," Jiuquan Satellite Launch Center, China",CASC,Price: $0.0 million,Status: Active,Success,Long March 2F/G | Shenzhou 18
"Tue Apr 23, 2024 22:32 UTC"," Māhia Peninsula, New Zealand",Rocket Lab,Price: $7.5 million,Status: Active,Success,Electron/Curie | Beginning Of The Swarm
"Tue Apr 23, 2024 22:17 UTC"," Cape Canaveral SFS, Florida, USA",SpaceX,Price: $67.0 million,Status: Active,Success,Falcon 9 Block 5 | Starlink Group 6-53
"Sat Apr 20, 2024 23:45 UTC"," Xichang Satellite Launch Center, China",CASC,Price: $29.75 million,Status: Active,Success,Long March 2D | Yaogan 42-02
"Thu Apr 18, 2024 22:40 UTC"," Cape Canaveral SFS, Florida, USA",SpaceX,Price: $67.0 million,Status: Active,Success,Falcon 9 Block 5 | Starlink Group 6-52
"Wed Apr 17, 2024 21:26 UTC"," Kennedy Space Center, Florida, USA",SpaceX,Price: $67.0 million,Status: Active,Success,Falcon 9 Block 5 | Starlink Group 6-51
"Mon Apr 15, 2024 04:12 UTC"," Jiuquan Satellite Launch Center, China",CASC,Price: $29.75 million,Status: Active,Success,Long March 2D | SuperView Neo 3-01
"Sat Apr 13, 2024 01:40 UTC"," Cape Canaveral SFS, Florida, USA",SpaceX,Price: $67.0 million,Status: Active,Success,Falcon 9 Block 5 | Starlink Group 6-49
"Thu Apr 11, 2024 14:25 UTC"," Vandenberg SFB, California, USA",SpaceX,Price: $67.0 million,Status: Active,Success,Falcon 9 Block 5 | USSF-62/WSF-M 1
"Thu Apr 11, 2024 09:00 UTC"," Vostochny Cosmodrome, Russia",Roscosmos,Price: $100.0 million,Status: Active,Success,Angara A5/Blok DM-03 | Vostochny Angara Test Flight
"Wed Apr 10, 2024 05:40 UTC"," Cape Canaveral SFS, Florida, USA",SpaceX,Price: $67.0 million,Status: Active,Success,Falcon 9 Block 5 | Starlink Group 6-48
"Tue Apr 09, 2024 16:53 UTC"," Cape Canaveral SFS, Florida, USA",ULA,Price: $350.0 million,Status: Retired,Success,Delta IV Heavy | NROL-70
"Sun Apr 07, 2024 23:16 UTC"," Kennedy Space Center, Florida, USA",SpaceX,Price: $67.0 million,Status: Active,Success,Falcon 9 Block 5 | Bandwagon-1
"Sun Apr 07, 2024 02:25 UTC"," Vandenberg SFB, California, USA",SpaceX,Price: $67.0 million,Status: Active,Success,Falcon 9 Block 5 | Starlink Group 8-1
"Fri Apr 05, 2024 09:12 UTC"," Cape Canaveral SFS, Florida, USA",SpaceX,Price: $67.0 million,Status: Active,Success,Falcon 9 Block 5 | Starlink Group 6-47
"Tue Apr 02, 2024 22:56 UTC"," Xichang Satellite Launch Center, China",CASC,Price: $29.75 million,Status: Active,Success,Long March 2D | Yaogan 42-01
"Tue Apr 02, 2024 02:30 UTC"," Vandenberg SFB, California, USA",SpaceX,Price: $67.0 million,Status: Active,Success,Falcon 9 Block 5 | Starlink Group 7-18
"Sun Mar 31, 2024 09:36 UTC"," Baikonur Cosmodrome, Kazakhstan",Roscosmos,Price: $20.0 million,Status: Active,Success,Soyuz 2.1b | Resurs-P No.4
"Sun Mar 31, 2024 01:30 UTC"," Cape Canaveral SFS, Florida, USA",SpaceX,Price: $67.0 million,Status: Active,Success,Falcon 9 Block 5 | Starlink Group 6-45
"Sat Mar 30, 2024 21:52 UTC"," Kennedy Space Center, Florida, USA",SpaceX,Price: $67.0 million,Status: Active,Success,Falcon 9 Block 5 | Eutelsat 36D
"Tue Mar 26, 2024 22:51 UTC"," Taiyuan Satellite Launch Center, China",CASC,Price: $0.0 million,Status: Active,Success,Long March 6A | Yunhai 3-02
"Mon Mar 25, 2024 23:42 UTC"," Cape Canaveral SFS, Florida, USA",SpaceX,Price: $67.0 million,Status: Active,Success,Falcon 9 Block 5 | Starlink Group 6-46
"Sun Mar 24, 2024 03:09 UTC"," Kennedy Space Center, Florida, USA",SpaceX,Price: $67.0 million,Status: Active,Success,Falcon 9 Block 5 | Starlink Group 6-42
"Sat Mar 23, 2024 12:36 UTC"," Baikonur Cosmodrome, Kazakhstan",Roscosmos,Price: $17.42 million,Status: Active,Success,Soyuz 2.1a | Soyuz MS-25
"Thu Mar 21, 2024 20:55 UTC"," Cape Canaveral SFS, Florida, USA",SpaceX,Price: $67.0 million,Status: Active,Success,Falcon 9 Block 5 | CRS SpX-30
"Thu Mar 21, 2024 07:25 UTC"," Wallops Flight Facility, Virginia, USA",Rocket Lab,Price: $7.5 million,Status: Active,Success,Electron/Curie | Live and Let Fly (USA 352) (NROL-123)
"Thu Mar 21, 2024 05:27 UTC"," Jiuquan Satellite Launch Center, China",CASC,Price: $30.0 million,Status: Active,Success,Long March 2D/YZ-3 | Yunhai-2 Group 02
"Wed Mar 20, 2024 00:31 UTC"," Wenchang Space Launch Site, China",CASC,Price: $27.0 million,Status: Active,Success,Long March 8 | Queqiao-2
"Tue Mar 19, 2024 02:28 UTC"," Vandenberg SFB, California, USA",SpaceX,Price: $67.0 million,Status: Active,Success,"Falcon 9 Block 5 | Starlink Group 7-16, USA 350, and USA 351"
