Calendar Year,NACA Budget[3],Nominal Dollars (Millions),%of Federal Budget[4],2023 Constant Dollars(Millions),CalendarYear,NASA budget,Nominal Dollars(Millions),% of Fed Budget[5][6]
,,,,,,,,
1915,0.005,0.00%,0.128,,,,,
1916,0.005,0.00%,0.119,,,,,
1917,0.088,0.00%,1.770,,,,,
1918,0.112,0.00%,1.920,,,,,
1919,0.205,0.00%,3.067,,,,,
1920,0.175,0.00%,2.265,,,,,
1921,0.200,0.00%,2.892,,,,,
1922,0.200,0.01%,3.081,,,,,
1923,0.226,0.01%,3.414,,,,,
1924,0.307,0.01%,4.646,,,,,
1925,0.470,0.02%,6.951,,,,,
1926,0.534,0.02%,7.808,,,,,
1927,0.513,0.02%,7.630,,,,,
1928,0.550,0.02%,8.324,,,,,
1929,0.837,0.03%,12.665,,,,,
1930,1.300,0.04%,20.147,,,,,
1931,1.321,0.04%,22.493,,,,,
1932,1.051,0.02%,19.856,,,,,
1933,0.920,0.02%,18.316,,,,,
1934,0.954,0.01%,18.419,,,,,
1935,1.256,0.02%,23.723,,,,,
1936,2.544,0.03%,47.366,,,,,
1937,1.631,0.02%,29.306,,,,,
1938,1.281,0.02%,23.510,,,,,
1939,4.064,0.04%,75.669,,,,,
1940,4.180,0.04%,77.274,,,,,
1941,11.200,0.08%,197.2,,,,,
1942,19.866,0.06%,315.4,,,,,
1943,25.429,0.03%,380.4,,,,,
1944,38.392,0.04%,564.6,,,,,
1945,40.942,0.04%,588.7,,,,,
1946,24.052,0.04%,319.2,,,,,
1947,30.713,0.09%,356.4,,,,,
1948,43.449,0.15%,466.6,,,,,
1949,48.652,0.13%,529.1,,,,,
1950,128,0.30%,"1,374.6",,,,,
1951,63.068,0.14%,627.8,,,,,
1952,69.000,0.10%,673.9,,,,,
1953,66.286,0.09%,642.5,,,,,
1954,62.439,0.09%,600.7,,,,,
1955,55.860,0.08%,539.4,,,,,
1956,72.700,0.10%,691.7,,,,,
1957,76.677,0.10%,706.2,,,,,
1958,117,0.14%,"1,847.3",,,,,
1959,101,0.11%,"2,188.8",,,,,
,,,,,,,,
,,,,,1958,89,0.1%,940
,,,,,1959,145,0.2%,"1,516"
,,,,,1960,401,0.5%,"4,130"
,,,,,1961,744,0.9%,"7,586"
,,,,,1962,"1,257",1.18%,"12,661"
,,,,,1963,"2,552",2.29%,"25,398"
,,,,,1964,"4,171",3.52%,"40,976"
,,,,,1965,"5,092",4.31%,"49,232"
,,,,,1966,"5,933",4.41%,"55,715"
,,,,,1967,"5,425",3.45%,"49,572"
,,,,,1968,"4,722",2.65%,"41,373"
,,,,,1969,"4,251",2.31%,"35,320"
,,,,,1970,"3,752",1.92%,"29,437"
,,,,,1971,"3,382",1.61%,"25,444"
,,,,,1972,"3,423",1.48%,"24,933"
,,,,,1973,"3,312",1.35%,"22,732"
,,,,,1974,"3,255",1.21%,"20,110"
,,,,,1975,"3,269",0.98%,"18,510"
,,,,,1976,"3,671",0.99%,"19,656"
,,,,,1977,"4,002",0.98%,"20,122"
,,,,,1978,"4,164",0.91%,"19,452"
,,,,,1979,"4,380",0.87%,"18,388"
,,,,,1980,"4,959",0.84%,"18,338"
,,,,,1981,"5,537",0.82%,"18,557"
,,,,,1982,"6,155",0.83%,"19,433"
,,,,,1983,"6,853",0.85%,"20,964"
,,,,,1984,"7,055",0.83%,"20,690"
,,,,,1985,"7,251",0.77%,"20,542"
,,,,,1986,"7,403",0.75%,"20,577"
,,,,,1987,"7,591",0.76%,"20,358"
,,,,,1988,"9,092",0.85%,"23,423"
,,,,,,,,
,,,,,1989,"11,036",0.96%,"27,126"
,,,,,1990,"12,429",0.99%,"28,986"
,,,,,1991,"13,878",1.05%,"31,045"
,,,,,1992,"13,961",1.01%,"30,312"
,,,,,1993,"14,305",1.01%,"30,172"
,,,,,1994,"13,695",0.94%,"28,153"
,,,,,1995,"13,378",0.88%,"26,750"
,,,,,1996,"13,881",0.89%,"26,967"
,,,,,1997,"14,360",0.90%,"27,255"
,,,,,1998,"14,194",0.86%,"26,533"
,,,,,1999,"13,636",0.80%,"24,940"
,,,,,2000,"13,428",0.75%,"23,758"
,,,,,2001,"14,095",0.76%,"24,254"
,,,,,2002,"14,405",0.72%,"24,402"
,,,,,2003,"14,610",0.68%,"24,198"
,,,,,2004,"15,152",0.66%,"24,442"
,,,,,2005,"15,602",0.63%,"24,340"
,,,,,2006,"15,125",0.57%,"22,860"
,,,,,2007,"15,861",0.58%,"23,307"
,,,,,2008,"17,833",0.60%,"25,236"
,,,,,2009,"17,782[7]",0.57%,"25,254"
,,,,,2010,"18,724[8]",0.52%,"26,162"
,,,,,2011,"18,448[9]",0.51%,"24,987"
,,,,,2012,"17,770[10]",0.50%,"23,583"
,,,,,2013,"16,865[11]",0.49%,"22,059"
,,,,,2014,"17,647[12]",0.50%,"22,712"
,,,,,2015,"18,010[13]",0.49%,"23,150"
,,,,,2016,"19,300[14]",0.50%,"24,502"
,,,,,2017,"19,508[15]",0.47%,"24,249"
,,,,,2018,"20,736[16]",0.50%,"25,160"
,,,,,2019,"21,500[17]",0.47%,"25,622"
,,,,,2020,"22,629[18]",0.48%,"26,559"
,,,,,2021,"23,271[19]",,
