Date,Event leading to space exploration,Country,Researcher(s),Ref(s).,Mission success,Mission name,Mission achievements,Country/organization
1610,"First telescopic observation of the night sky: discovery of the Galilean moons, lunar craters and the phases of Venus.",Venice,Galileo Galilei,,,,,
1668,First reflecting telescope.,England,Isaac Newton,,,,,
1781,First telescopic discovery of planet (Uranus).,Great Britain,William Herschel,,,,,
1801,First discovery of asteroid (Ceres).,Sicily,Giuseppe Piazzi,,,,,
1813,First exposition of the rocket equation based on Newton's third law of motion: Treatise on the Motion of Rockets.,UK,William Moore,,,,,
1840,First clear telescopic photograph of another world: the Moon.,United States,John William Draper,,,,,
1845,"First proper observation of other galaxies which are termed ""whirlpool nebulae"".",UK,William Parsons,,,,,
1861,A Journey Through Space makes first proposal of using rockets for space flight.,UK,William Leitch,,,,,
1895,First proposal of space elevator.,Russia,Konstantin Tsiolkovsky,,,,,
1903,,Russia,,[2],"Publication of Exploration of the Universe with Rocket-Propelled Vehicles[1] that showed physical space exploration was theoretically possible, including the Tsiolkovsky rocket equation, multi staged rockets and using liquid oxygen and liquid hydrogen in liquid propellant",Konstantin Tsiolkovsky,,
1914,,United States,,,Goddard files for and is subsequently awarded U.S. patents on multistage and liquid-fueled rockets.,Robert H. Goddard,,
1917,,Netherlands,,,First observation of an extrasolar planet (exoplanet) round Van Maanen 2 although it is not recognised as such at the time.,Adriaan van Maanen,,
1919,,United States,,,"Goddard's widely influential paper ""A Method of Reaching Extreme Altitudes"" discussed solid- and liquid-fueled rocketry.",Robert H. Goddard,,
15 December 1923,,Germany,,,"Die Rakete zu den Planetenräumen (""By Rocket into Planetary Space"") self-published after its rejection as a doctoral thesis.",Hermann Oberth,,
1924,,USSR,,,Society for Studies of Interplanetary Travel founded.,"Members include Konstantin Tsiolkovsky, Friedrich Zander, Yuri Kondratyuk",,
16 March 1926,,United States,,,Goddard launches the first liquid-fueled rocket.,Robert H. Goddard,,
1927,,Germany,,,Verein für Raumschiffahrt (Society for Space Travel) formed; it includes many top European rocket scientists.,,,
1927,,USSR,,,Завоевание межпланетных пространств (The Conquest of Interplanetary Space) discusses rocket mechanics and orbital effects including the gravitational slingshot.,Yuri Kondratyuk,,
1928,,Germany,,,Das Problem der Befahrung des Weltraums – der Raketen-Motor (The Problem of Space Travel – The Rocket Motor) discusses space travel and its potential uses for scientific experiments.,Herman Potočnik,,
January 1933,,UK,,,British Interplanetary Society founded.,Philip E. Cleator,,
April 1933,,United States,,,First detection of radio waves from an astronomical object.,Karl Jansky,,
September 1933,,USSR,,[3],Establishment of the Soviet rocket research lab Reactive Scientific Research Institute (RNII) by combining the Group for the Study of Reactive Motion (GIRD) with the Gas Dynamics Laboratory (GDL).,Key people Sergei Korolev & Valentin Glushko,,
20 June 1944,,Germany (Wehrmacht),,,First spaceflight in history. First man-made object in space (later defined as above the Kármán line).,V-2 rocket (MW 18014),,
October 1945,,UK,,,"Article in Wireless World, ""Extra-Terrestrial Relays — Can Rocket Stations Give Worldwide Radio Coverage?"" makes first discussion of geostationary satellites as a means of communication.",Arthur C. Clarke,,
10 May 1946,,United States,,,First space research flight (cosmic radiation experiments).,captured and improved V-2 rocket,,
24 October 1946,,United States,,[4][5],First pictures of Earth from 105 km (65 mi).,V-2,,
20 February 1947,,United States,,[4][6],First animals in space (fruit flies).,V-2,,
24 February 1949,,United States,,,"First two-stage liquid-fueled rocket, that sets a record altitude of 244 miles (393 km) (WAC Corporal missile mounted onto a V-2 rocket).",Bumper-5,,
14 June 1949,,United States,,,"First mammal in space (Albert II, a rhesus monkey). First primate in space.",V-2,,
20 September 1956,,United States,,[7][8],"First rocket to pass the thermopause and enter the exosphere. At 682 miles (1,098 km) altitude and 3,335 miles range, the 3-stage Jupiter-C breaks both records and achieves MACH 18 velocity.",Jupiter-C,,
4 October 1957,,,,,,Sputnik 1,First artificial satellite. First man-made signals from space.,USSR
